Compound,Anopheles repellency (%),Aedes repellency (%),Tick repellency (%),Volunteer repellency (%)
TQ-0002864,93.675,1,,
TQ-0043579,100,2,,
TQ-0043587,88.9,3,,
TQ-0043589,81.2,4,,
TQ-0043590,94,5,,
TQ-0043594,44.63333333,6,,
TQ-0043595,38.33366667,7,,
TQ-0043598,67.93333333,8,,
TQ-0043608,45.71,9,,
TQ-0043649,89.46666667,10,,
TQ-0043668,100,11,,
TQ-0043674,63.6,12,,
TQ-0043681,81.3,13,,
TQ-0043684,85.6,14,,
TQ-0043703,53.53333333,15,,
TQ-0043718,100,16,,
TQ-0043739,43.32333333,17,,
TQ-0002864,,69,,
TQ-0043579,,100,,
TQ-0043587,,31,,
TQ-0043589,,67,,
TQ-0043590,,100,,
TQ-0043594,,100,,
TQ-0043595,,6,,
TQ-0043598,,34,,
TQ-0043608,,71,,
TQ-0043649,,92,,
TQ-0043668,,93,,
TQ-0043674,,45,,
TQ-0043681,,100,,
TQ-0043684,,92,,
TQ-0043703,,81,,
TQ-0043718,,100,,
TQ-0043739,,81,,
TQ-0002864,,,100,
TQ-0043579,,,100,
TQ-0043587,,,80,
TQ-0043589,,,80,
TQ-0043590,,,100,
TQ-0043594,,,40,
TQ-0043595,,,80,
TQ-0043598,,,20,
TQ-0043608,,,100,
TQ-0043649,,,80,
TQ-0043668,,,100,
TQ-0043674,,,60,
TQ-0043681,,,80,
TQ-0043684,,,100,
TQ-0043703,,,40,
TQ-0043718,,,80,
TQ-0043739,,,80,
TQ-0002864,,,,76.5
TQ-0043579,,,,75.9
TQ-0043587,,,,90.6
TQ-0043589,,,,54.7
TQ-0043590,,,,68.3
TQ-0043594,,,,40
TQ-0043595,,,,42.3
TQ-0043598,,,,48.9
TQ-0043608,,,,59.5
TQ-0043649,,,,64.5
TQ-0043668,,,,93.7
TQ-0043674,,,,-23.7
TQ-0043681,,,,85.8
TQ-0043684,,,,48.9
TQ-0043703,,,,-28.3
TQ-0043718,,,,75.2
TQ-0043739,,,,-40.2
