 ,Mean(01),Mean(02),Mean(03),Mean(04),Mean(05),Mean(06),Mean(07),Mean(08),Mean(09),Mean(10),Mean(11)
1,1716.581,1882.908,1608.138,1676.499,1320.031,1284.921,992.622,1742.675,1000.151,764.629,772.582
2,1799.298,1897.552,1612.073,1680.551,1309.917,1316.638,1065.894,1939.675,1042.826,741.203,824.673
3,1782.208,1845.063,1638.220,1653.122,1318.030,1231.460,1028.121,1808.529,1020.049,737.793,819.930
4,1755.481,1886.476,1675.983,1563.906,1296.543,1188.270,1075.353,1761.683,1005.663,781.747,777.037
5,1726.081,1870.466,1661.719,1617.428,1317.062,1227.481,962.416,1746.248,996.423,736.048,768.115
6,1708.647,1799.360,1732.593,1554.667,1323.501,1245.469,1047.423,1748.464,1025.818,776.419,778.131
7,1719.005,1862.947,1678.778,1635.523,1304.401,1150.335,1054.538,1744.563,1033.403,780.643,702.997
8,1707.197,1809.945,1738.688,1594.548,1317.347,1171.184,1066.732,1655.611,1050.713,790.739,748.306
9,1710.536,1806.040,1615.888,1660.611,1308.666,1162.324,979.875,1731.054,1069.752,755.708,775.409
10,1747.411,1751.947,1690.789,1574.850,1329.731,1188.946,1018.234,1725.608,989.788,777.829,663.205
11,1818.577,1821.867,1695.639,1526.902,1312.774,1163.293,966.834,1719.996,1030.469,769.155,693.017
12,1741.526,1810.816,1623.040,1571.093,1255.988,1153.984,952.608,1753.153,1106.933,810.204,700.502
13,1752.624,1862.626,1625.088,1603.888,1288.245,1265.265,974.365,1795.708,1073.541,758.013,698.047
14,1793.081,1800.498,1697.010,1608.837,1306.444,1184.158,983.504,1734.133,1083.068,759.789,665.504
15,1806.254,1770.477,1615.911,1554.928,1285.189,1170.800,972.792,1788.978,1119.899,772.534,732.209
16,1762.693,1776.643,1638.084,1572.130,1318.619,1174.505,999.181,1757.961,1112.939,748.639,730.026
17,1791.326,1779.457,1650.068,1586.449,1315.070,1142.517,950.839,1765.570,1074.924,811.433,734.287
18,1783.452,1849.061,1617.702,1636.696,1278.136,1232.217,1000.516,1781.613,1081.977,761.579,710.709
19,1776.798,1863.501,1653.188,1667.898,1266.222,1162.946,1002.109,1768.746,1112.462,766.238,665.325
20,1856.335,1870.595,1664.870,1683.177,1339.125,1188.340,945.616,1799.792,1083.984,744.495,712.717
21,1896.735,1989.306,1709.957,1714.724,1459.440,1169.993,979.014,1869.628,1242.559,1152.429,698.702
22,2128.178,2058.982,1736.952,1975.023,1655.986,1110.480,907.147,2066.080,1585.951,1337.193,652.595
23,2360.675,2307.107,1914.909,2216.276,1695.416,1137.470,891.263,2137.882,1667.276,1522.029,658.199
24,2527.802,2413.619,2073.504,2278.275,1864.700,1145.761,897.765,2441.316,1870.361,1625.228,681.446
25,2440.333,2453.613,2126.076,2305.648,1955.902,1100.265,893.571,2462.682,1874.570,1610.761,697.793
26,2539.258,2495.678,2076.753,2340.157,1883.774,1060.353,935.767,2572.323,1881.351,1573.274,665.855
27,2596.611,2515.192,2105.244,2359.566,1874.786,1145.645,885.420,2614.253,1761.779,1581.873,623.826
28,2571.272,2482.478,2109.590,2325.814,1869.671,1075.497,901.642,2596.753,1706.217,1499.800,658.653
29,2377.964,2432.283,2062.745,2291.337,1898.582,1134.808,899.510,2534.112,1732.208,1494.543,655.709
30,2362.424,2500.981,2037.797,2220.786,1825.261,1122.494,931.440,2387.222,1619.235,1422.681,677.260
31,2431.036,2421.229,2016.838,2213.783,1833.752,1114.962,850.177,2476.346,1624.436,1473.269,611.102
32,2402.882,2468.758,1997.324,2228.726,1751.902,1166.440,859.260,2546.453,1623.936,1458.555,598.367
33,2418.979,2421.236,1992.387,2139.882,1782.218,1045.781,842.628,2516.265,1578.624,1386.742,693.633
34,2364.175,2357.127,1950.278,2096.883,1754.512,1055.908,945.933,2523.871,1592.797,1344.541,704.877
35,2362.962,2320.213,1954.978,2114.914,1727.117,1093.397,878.971,2575.623,1604.896,1337.552,723.300
36,2324.190,2358.877,1887.653,2020.170,1741.474,1123.323,922.972,2330.395,1570.714,1312.589,773.286
37,2261.640,2285.839,1932.670,2071.108,1733.386,1175.224,952.153,2581.239,1488.528,1259.918,765.069
38,2283.100,2264.671,1888.468,1988.024,1643.779,1074.096,946.182,2386.099,1507.486,1285.918,807.522
39,2251.460,2282.573,1806.382,2088.746,1653.961,1107.344,904.932,2389.842,1524.981,1257.200,806.628
40,2129.542,2241.660,1893.914,2021.713,1659.539,1115.783,880.619,2294.437,1505.042,1209.815,833.131
41,2291.400,2169.313,1815.030,2068.420,1702.626,1107.548,856.355,2531.571,1527.353,1248.705,767.337
42,2203.300,2222.774,1869.385,2053.818,1638.577,1148.267,886.779,2478.361,1444.689,1222.255,697.828
43,2132.681,2161.274,1897.840,2023.624,1672.238,1095.887,915.145,2289.355,1424.712,1207.336,766.879
44,2140.007,2089.013,1864.825,2070.097,1699.728,1101.895,926.418,2301.431,1441.946,1172.822,742.686
45,2121.355,2178.126,1872.644,1987.386,1620.707,1009.175,908.446,2289.824,1429.211,1188.025,762.362
46,2102.555,2167.052,1872.822,2052.181,1589.825,1113.391,895.982,2169.643,1408.141,1188.130,778.295
47,2140.056,2230.766,1863.934,1984.213,1629.341,1125.406,940.281,2337.555,1384.366,1157.553,723.134
48,2218.189,2114.264,1832.172,2012.430,1649.106,1129.748,890.240,2383.021,1371.806,1111.318,751.623
49,2102.220,2139.194,1777.493,1974.546,1634.738,1152.370,931.797,2346.905,1350.944,1120.905,716.407
50,2078.427,2134.076,1747.737,1813.080,1610.142,1118.703,865.480,2268.976,1361.694,1117.451,707.143
