 ,Mean(01),Mean(02),Mean(03),Mean(04),Mean(05),Mean(06),Mean(07),Mean(08),Mean(09),Mean(10),Mean(11),Mean(12),Mean(13),Mean(14),Mean(15),Mean(16)
1,1749.979,1121.776,1267.388,1345.558,1370.529,815.581,494.549,735.141,639.817,1012.626,1128.935,753.819,552.225,781.642,930.873,1920.234
2,1632.436,1116.588,1275.403,1352.793,1409.496,775.764,476.588,749.758,662.848,993.865,1099.355,732.848,545.695,788.490,880.105,2005.652
3,1776.975,1102.106,1207.756,1319.044,1349.246,886.199,485.328,746.461,676.204,1189.591,1310.534,736.591,503.403,784.942,856.636,2024.650
4,1614.049,1103.941,1199.333,1308.241,1351.398,895.643,473.531,698.477,700.024,1048.844,1161.278,713.703,556.077,830.408,892.613,2044.456
5,1662.388,1067.134,1251.845,1326.260,1403.741,891.720,486.842,681.972,605.058,1220.108,1315.679,730.734,540.930,772.456,928.406,2093.739
6,1603.263,1125.739,1214.069,1346.056,1408.849,975.225,454.315,719.210,685.340,1321.621,1380.245,715.524,568.892,830.235,871.985,2116.420
7,1659.390,1059.323,1241.664,1328.276,1377.837,997.189,497.442,751.313,746.809,1264.680,1312.370,787.457,501.166,698.846,966.180,1766.798
8,1637.445,1194.575,1265.264,1378.232,1394.342,943.417,467.970,702.366,683.689,1189.989,1318.485,723.297,523.528,766.788,942.450,1979.214
9,1657.797,1113.658,1151.912,1360.985,1385.418,850.208,515.160,735.094,669.418,1113.327,1233.989,754.248,515.172,759.150,874.536,1956.925
10,1578.314,1106.132,1210.770,1246.177,1414.451,801.527,455.936,676.865,643.072,1094.906,1167.719,689.283,514.047,773.804,904.367,1990.234
11,1742.212,1128.871,1205.156,1318.439,1344.578,884.940,450.189,698.245,688.861,1062.455,1165.290,722.069,553.770,813.328,910.540,2034.491
12,1704.472,1087.778,1156.581,1326.543,1314.745,773.423,451.653,744.407,649.911,1074.424,1132.610,726.388,563.767,790.235,946.214,1907.548
13,1549.583,1097.537,1211.411,1395.656,1377.415,832.158,441.680,736.689,646.451,1028.884,1087.724,693.846,569.170,816.877,942.923,1767.211
14,1644.549,1104.553,1219.354,1410.827,1351.667,955.635,565.894,750.716,730.211,1261.168,1330.732,746.502,550.717,841.597,882.380,2025.302
15,1643.254,1136.547,1171.020,1305.775,1346.357,927.380,606.463,770.603,760.186,1254.950,1302.489,686.238,492.480,797.239,905.487,1903.984
16,1645.267,1117.406,1240.608,1331.097,1318.610,930.131,560.704,720.787,732.229,1211.502,1270.162,703.654,567.973,746.210,840.217,2038.266
17,1780.468,1136.154,1221.004,1337.414,1400.172,822.691,538.828,734.525,712.400,1116.324,1239.414,726.594,542.731,819.041,952.699,1955.034
