 ,Mean(28),Mean(29),Mean(30),Mean(31),Mean(32),Mean(33),Mean(34),Mean(35),Mean(36),Mean(37),Mean(38),Mean(39),Mean(40),Mean(41),Mean(42),Mean(43),Mean(44),Mean(45),Mean(46),Mean(47),Mean(48),Mean(49),Mean(50)
1,662.528,509.625,1345.860,639.678,634.415,733.912,411.444,384.928,933.470,1383.504,819.382,1071.808,718.111,1318.717,465.558,480.845,632.597,893.571,684.498,1526.217,703.087,736.862,1211.367
2,633.594,409.816,1361.218,606.592,674.172,758.511,413.811,366.461,935.742,1431.467,683.342,1019.522,705.732,1324.108,465.383,474.218,623.613,970.170,651.330,1536.690,708.864,825.758,1236.569
3,637.433,447.053,1382.418,628.730,640.677,703.094,451.380,428.418,973.519,1410.947,685.499,1020.445,767.140,1366.500,448.273,468.524,530.797,961.800,653.153,1469.404,729.091,816.178,1140.154
4,663.119,458.496,1338.359,655.755,616.736,750.955,446.824,415.185,968.689,1408.274,636.664,1085.208,777.078,1332.282,439.132,488.499,577.187,982.305,643.131,1421.470,753.945,816.809,1130.963
5,644.825,427.636,1346.307,655.410,587.508,782.326,505.399,467.631,997.894,1372.766,688.057,1054.201,774.089,1368.689,427.274,454.097,548.294,998.447,702.575,1459.195,712.697,840.336,1147.292
6,644.998,518.763,1296.405,608.809,613.736,732.031,516.973,422.989,990.072,1398.930,664.230,1029.208,762.078,1391.308,466.244,456.970,543.848,918.827,689.384,1499.613,746.567,820.093,1183.018
7,617.288,427.953,1306.222,624.806,682.540,672.530,457.817,364.395,937.182,1384.747,647.126,933.079,736.206,1375.279,462.730,483.219,610.452,959.225,799.203,1499.840,722.637,824.169,1264.408
8,635.593,450.464,1334.445,600.606,606.877,699.922,475.051,411.106,946.153,1408.430,660.671,999.741,775.588,1356.000,445.800,450.522,560.838,989.685,723.900,1496.291,733.906,891.409,1184.809
9,654.272,493.375,1325.300,621.999,715.634,688.413,460.331,434.624,994.706,1453.980,677.350,973.386,817.750,1334.191,409.156,493.569,530.126,956.498,711.280,1387.942,734.613,820.471,1231.330
10,624.983,448.636,1338.448,656.086,654.581,683.220,430.760,419.587,987.570,1345.357,622.273,953.592,756.710,1366.126,479.915,515.870,582.069,969.049,620.222,1454.500,729.564,873.677,1270.240
11,605.971,461.733,1326.146,664.487,609.821,704.621,464.071,426.389,1044.068,1379.090,622.956,949.689,776.753,1335.326,437.700,491.498,606.428,958.139,725.666,1479.544,730.033,874.170,1177.313
12,621.080,459.557,1318.551,681.844,644.370,717.147,465.078,400.531,1014.644,1376.609,719.626,1002.504,756.901,1412.569,482.242,504.651,632.836,1000.516,672.253,1537.308,728.729,822.189,1173.327
